Age_of_Farmer,Annual_Income,Land_Size_Acres,Land_Location,Irrigation_Facility,Credit_Score,Existing_Loans,Requested_Loan_Amount,Loan_Purpose,Loan_Type,Land_Ownership,Loan_History,Approved_Loan_Amount,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha
54,808672.0,5.51,Far,canal,510,3,220400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,7.43,479,26,395
55,609125.0,3.88,Near_City,canal,480,3,310400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,6.47,177,42,246
43,329618.0,2.26,Near_Village,borewell,640,1,135600.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,115938.0,6.53,361,17,209
46,599172.0,4.57,Near_Village,rainfed,510,3,274200.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,8.42,431,47,68
47,429768.0,2.74,Near_Village,rainfed,630,1,164400.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,7.93,573,19,281
46,723403.0,5.52,Near_Village,rainfed,510,3,331200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,7.3,613,19,395
52,276636.0,1.52,Near_Village,borewell,440,3,91200.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,7.57,664,11,312
49,446015.0,2.59,Near_Village,borewell,680,0,155400.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,8.23,392,47,206
29,875270.0,6.36,Far,borewell,740,1,254400.0,Crop_Cultivation,Short_Term,Owned,First_Time,217512.0,7.96,336,15,174
61,977368.0,7.61,Near_Village,canal,720,2,456600.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,423268.2,8.32,668,37,297
44,673908.0,4.82,Near_Village,rainfed,740,1,289200.0,Crop_Cultivation,Long_Term,Owned,First_Time,247266.0,7.56,511,17,213
59,578507.0,3.71,Near_Village,canal,480,3,222600.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,8.17,319,46,239
54,778177.0,5.8,Near_Village,canal,590,3,348000.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,5.91,368,32,51
30,384634.0,2.59,Near_Village,drip,460,3,155400.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,7.29,561,40,308
56,332435.0,2.09,Near_Village,canal,510,2,125400.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0,7.86,185,33,380
56,638245.0,4.66,Near_City,drip,590,3,372800.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0,6.36,523,39,245
50,768309.0,5.69,Near_Village,canal,690,2,341400.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,7.2,473,33,389
44,433610.0,2.39,Near_City,rainfed,740,0,191200.0,Borewell_Installation,Short_Term,Owned,First_Time,163476.0,5.98,673,11,291
62,1028018.0,7.82,Far,canal,680,1,312800.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,7.61,122,20,218
25,822443.0,5.81,Near_City,borewell,640,2,464800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,397404.0,7.28,576,19,100
43,596854.0,4.02,Near_Village,rainfed,670,2,241200.0,Irrigation_Setup,Short_Term,Owned,Repeat,217080.0,6.51,189,40,208
29,709071.0,4.83,Far,rainfed,690,2,193200.0,Crop_Cultivation,Short_Term,Owned,Repeat,179096.4,6.65,102,8,61
64,392705.0,2.19,Far,drip,450,2,87600.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,6.46,576,12,74
31,983717.0,7.61,Near_City,rainfed,820,0,608800.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,520524.0,6.26,301,14,146
53,765075.0,5.67,Near_Village,borewell,670,2,340200.0,Equipment_Purchase,Long_Term,Owned,First_Time,290871.0,6.42,610,39,396
65,648216.0,4.92,Near_City,borewell,710,1,393600.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,336528.0,7.0,500,49,173
44,702577.0,4.96,Far,drip,560,3,198400.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.07,139,40,150
30,736917.0,4.99,Near_Village,canal,640,2,299400.0,Crop_Cultivation,Short_Term,Owned,First_Time,255987.0,6.01,352,32,318
61,207605.0,0.8,Near_City,drip,480,1,64000.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,6.67,634,29,245
47,564046.0,3.56,Near_Village,borewell,710,1,213600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.89,259,34,130
50,909449.0,6.6,Far,drip,750,2,264000.0,Equipment_Purchase,Long_Term,Owned,Repeat,244728.0,5.79,114,8,364
25,801213.0,5.43,Far,drip,760,1,217200.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,5.86,573,11,112
28,334330.0,2.03,Far,canal,410,3,81200.0,Crop_Cultivation,Short_Term,Owned,First_Time,0.0,7.26,379,44,358
60,215926.0,0.6,Near_Village,rainfed,670,0,36000.0,Irrigation_Setup,Short_Term,Owned,Repeat,32400.0,7.82,200,21,130
42,520608.0,3.62,Near_Village,rainfed,690,1,217200.0,Irrigation_Setup,Short_Term,Owned,First_Time,185706.0,6.28,288,34,267
51,486592.0,3.05,Far,borewell,670,2,122000.0,Borewell_Installation,Long_Term,Owned,Repeat,109800.0,5.64,699,43,256
46,612520.0,4.64,Far,drip,820,1,185600.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,175392.0,7.84,394,45,344
55,757869.0,5.79,Near_Village,rainfed,850,0,347400.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,328293.0,5.71,310,49,341
54,167465.0,0.62,Near_City,rainfed,310,3,49600.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,8.4,626,15,380
59,481817.0,3.35,Near_Village,drip,790,0,201000.0,Borewell_Installation,Short_Term,Owned,Repeat,189945.0,8.35,219,38,361
52,998155.0,7.84,Far,borewell,850,1,313600.0,Equipment_Purchase,Short_Term,Owned,Repeat,296352.0,5.67,157,7,58
48,578826.0,3.73,Near_City,drip,770,1,298400.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,281988.0,6.34,245,31,340
56,969700.0,7.35,Near_City,drip,720,2,588000.0,Irrigation_Setup,Long_Term,Owned,Repeat,545076.0,7.46,635,12,249
35,226422.0,1.05,Near_Village,canal,310,3,63000.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,7.56,521,27,194
55,207061.0,1.3,Near_Village,canal,490,2,78000.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,7.22,666,40,265
61,970181.0,6.99,Far,drip,640,2,279600.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,239058.0,5.64,164,31,137
33,713880.0,5.21,Far,borewell,570,3,208400.0,Crop_Cultivation,Long_Term,Owned,First_Time,0.0,6.93,387,17,54
45,846356.0,6.11,Near_City,rainfed,750,2,488800.0,Borewell_Installation,Long_Term,Owned,Repeat,453117.6,6.98,639,43,307
43,833717.0,6.1,Near_Village,drip,710,1,366000.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,7.89,211,7,60
25,436052.0,2.48,Near_City,canal,500,2,198400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,6.78,434,45,188
39,550092.0,4.04,Far,canal,710,1,161600.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,7.46,490,37,327
33,199429.0,0.84,Near_City,drip,640,0,67200.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,5.73,523,19,69
59,577276.0,3.64,Far,rainfed,650,0,145600.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,7.49,269,31,361
48,341760.0,2.13,Near_Village,canal,620,2,127800.0,Borewell_Installation,Long_Term,Owned,Repeat,115020.0,6.35,648,22,171
32,1038400.0,7.62,Near_Village,rainfed,820,0,457200.0,Crop_Cultivation,Long_Term,Owned,First_Time,390906.0,5.77,306,18,328
60,313038.0,2.05,Near_City,canal,550,1,164000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,7.33,178,48,70
59,358438.0,2.38,Near_City,borewell,600,0,190400.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,5.55,271,40,294
41,216045.0,0.89,Far,borewell,560,0,35600.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,5.6,129,32,260
57,399128.0,2.16,Far,canal,680,0,86400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,6.67,696,23,226
31,601525.0,4.18,Near_Village,borewell,760,1,250800.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,7.96,581,36,145
63,617549.0,4.48,Near_Village,drip,780,0,268800.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,6.26,379,27,272
51,463860.0,3.04,Near_Village,drip,760,0,182400.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,6.45,586,39,52
34,745054.0,5.65,Near_Village,borewell,850,0,339000.0,Crop_Cultivation,Long_Term,Owned,Repeat,320355.0,6.62,626,42,136
62,1016490.0,7.67,Far,borewell,660,2,306800.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.93,579,20,184
31,704848.0,4.83,Near_City,drip,850,0,386400.0,Equipment_Purchase,Long_Term,Owned,Repeat,365148.0,7.51,443,23,63
52,915341.0,6.84,Far,borewell,690,2,273600.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,8.07,510,17,247
47,171028.0,0.55,Near_City,drip,650,1,44000.0,Crop_Cultivation,Short_Term,Owned,Repeat,39600.0,8.32,694,16,292
54,505538.0,3.06,Near_Village,canal,740,0,183600.0,Crop_Cultivation,Short_Term,Owned,First_Time,156978.0,7.33,247,17,176
53,719734.0,5.46,Near_Village,drip,690,2,327600.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,6.3,682,34,61
43,760307.0,5.59,Far,canal,770,1,223600.0,Irrigation_Setup,Short_Term,Owned,First_Time,191178.0,7.46,360,9,195
38,851034.0,6.26,Near_Village,canal,820,0,375600.0,Irrigation_Setup,Long_Term,Owned,First_Time,321138.0,7.35,304,14,158
39,601033.0,4.25,Far,borewell,730,0,170000.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,6.07,672,31,137
61,577418.0,3.72,Near_Village,drip,650,0,223200.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,5.51,206,25,349
54,910673.0,6.74,Near_Village,drip,760,0,404400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,6.84,267,45,314
44,876139.0,6.09,Near_City,rainfed,840,0,487200.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,5.96,364,14,58
34,421286.0,2.27,Near_City,rainfed,710,1,181600.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,6.32,129,30,258
61,851961.0,6.2,Near_Village,canal,720,2,372000.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,344844.0,7.73,142,24,55
42,680427.0,4.94,Near_Village,borewell,620,3,296400.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0,6.27,401,11,278
29,755315.0,5.33,Near_City,drip,810,0,426400.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.62,679,36,372
34,1064349.0,7.68,Near_Village,canal,820,0,460800.0,Borewell_Installation,Short_Term,Owned,First_Time,393984.0,6.64,281,17,254
53,664291.0,4.43,Far,canal,580,2,177200.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,5.7,576,9,52
46,245180.0,0.99,Near_City,drip,410,2,79200.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,8.05,493,24,273
34,1023433.0,7.38,Near_Village,drip,760,0,442800.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,8.01,162,32,208
58,257736.0,1.2,Far,canal,570,2,48000.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0,7.59,523,24,186
37,392282.0,2.2,Near_City,borewell,630,0,176000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.02,618,19,166
49,307422.0,1.66,Near_City,rainfed,360,3,132800.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,6.06,530,23,248
64,455707.0,2.64,Far,rainfed,740,1,105600.0,Equipment_Purchase,Long_Term,Owned,Repeat,97891.2,6.12,360,45,296
53,609240.0,3.96,Near_Village,drip,680,1,237600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.41,108,6,315
55,954540.0,7.06,Far,borewell,760,0,282400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,8.34,478,11,322
30,1012615.0,7.6,Near_City,canal,510,3,608000.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,7.62,498,10,305
30,509125.0,3.31,Near_City,borewell,670,2,264800.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,238320.0,8.04,687,11,244
33,807373.0,6.19,Near_Village,borewell,850,0,371400.0,Equipment_Purchase,Short_Term,Owned,Repeat,350973.0,5.66,240,32,159
40,464031.0,2.76,Near_City,drip,430,3,220800.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,6.36,434,18,236
57,651751.0,4.81,Far,canal,840,0,192400.0,Borewell_Installation,Long_Term,Owned,Repeat,181818.0,6.02,668,46,279
30,679552.0,4.43,Near_Village,borewell,560,3,265800.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,8.27,299,6,86
26,477776.0,3.18,Near_City,rainfed,710,0,254400.0,Borewell_Installation,Long_Term,Owned,First_Time,217512.0,6.91,238,36,83
36,896062.0,6.73,Far,drip,710,1,269200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,6.86,190,19,358
37,248335.0,0.83,Near_City,canal,310,3,66400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,5.58,341,9,294
37,418678.0,2.65,Near_City,canal,760,0,212000.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,8.16,443,47,145
46,1064964.0,7.8,Near_Village,drip,750,2,468000.0,Crop_Cultivation,Long_Term,Owned,Repeat,433836.0,6.83,629,26,322
36,691208.0,4.59,Near_Village,borewell,580,2,275400.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,6.54,675,43,204
53,474419.0,3.14,Near_City,canal,570,3,251200.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0,8.2,257,40,51
57,915762.0,6.51,Far,borewell,540,3,260400.0,Crop_Cultivation,Short_Term,Owned,First_Time,0.0,8.26,128,34,112
48,511625.0,3.22,Far,rainfed,430,3,128800.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,8.43,360,16,307
33,660019.0,4.47,Near_Village,canal,810,0,268200.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,6.33,293,34,392
32,354906.0,2.46,Near_Village,drip,540,2,147600.0,Irrigation_Setup,Short_Term,Owned,First_Time,0.0,6.32,697,8,238
53,1100898.0,7.98,Far,canal,760,0,319200.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,7.24,255,15,59
65,314503.0,1.81,Near_Village,rainfed,530,1,108600.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,8.02,382,16,358
60,693703.0,4.79,Near_Village,rainfed,780,0,287400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,6.2,243,39,196
51,874660.0,6.27,Far,rainfed,760,0,250800.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,7.32,305,22,261
65,660429.0,4.91,Near_City,borewell,700,0,392800.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,7.83,549,29,352
45,1033122.0,7.51,Near_City,canal,760,0,600800.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,6.95,626,14,272
44,673846.0,5.11,Near_City,rainfed,770,1,408800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,349524.0,6.55,572,36,191
61,379696.0,2.48,Near_City,drip,680,0,198400.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,6.67,382,38,156
50,422189.0,2.73,Near_City,borewell,430,3,218400.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,5.62,118,37,280
63,300741.0,1.58,Far,canal,530,1,63200.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,7.71,589,32,146
32,394117.0,2.51,Near_City,borewell,540,2,200800.0,Irrigation_Setup,Long_Term,Owned,First_Time,0.0,6.23,423,39,358
61,771002.0,5.91,Near_City,drip,480,3,472800.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,8.16,601,13,263
50,635145.0,4.29,Near_City,canal,810,0,343200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.27,631,39,125
25,878705.0,6.85,Near_Village,canal,720,2,411000.0,Irrigation_Setup,Long_Term,Owned,Repeat,380997.0,6.74,468,13,241
37,449072.0,3.22,Near_Village,drip,490,3,193200.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,8.12,536,39,222
50,451100.0,3.3,Near_Village,canal,690,1,198000.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,169290.0,8.36,182,11,174
46,914405.0,6.53,Far,rainfed,850,1,261200.0,Equipment_Purchase,Long_Term,Owned,Repeat,246834.0,8.1,168,37,204
44,732317.0,4.95,Far,drip,660,2,198000.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,7.62,491,17,55
32,1014349.0,7.85,Far,borewell,650,3,314000.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0,8.12,260,24,173
58,734207.0,5.22,Far,rainfed,740,1,208800.0,Crop_Cultivation,Short_Term,Owned,First_Time,178524.0,6.61,672,34,283
34,550875.0,3.6,Near_City,drip,760,0,288000.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,7.17,155,11,309
49,428569.0,2.85,Near_City,canal,590,2,228000.0,Equipment_Purchase,Long_Term,Owned,First_Time,0.0,6.22,202,30,164
39,994921.0,7.56,Near_Village,rainfed,590,3,453600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.16,418,48,123
32,719603.0,4.8,Far,drip,720,2,192000.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,177984.0,6.23,353,29,322
53,781098.0,5.42,Far,rainfed,670,2,216800.0,Borewell_Installation,Long_Term,Owned,First_Time,185364.0,8.19,540,39,328
40,422425.0,2.32,Far,rainfed,710,1,92800.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,6.91,466,7,60
55,237409.0,1.25,Near_City,rainfed,390,3,100000.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.74,355,6,393
28,979234.0,7.31,Near_City,rainfed,790,0,584800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,500004.0,8.24,115,39,81
36,969989.0,7.52,Near_Village,borewell,840,0,451200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,6.35,262,48,222
57,569869.0,4.01,Near_City,canal,540,3,320800.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0,6.82,422,44,312
61,804920.0,5.56,Near_City,drip,620,3,444800.0,Borewell_Installation,Long_Term,Owned,Repeat,0.0,8.04,142,12,331
31,375596.0,1.89,Near_City,canal,750,0,151200.0,Equipment_Purchase,Long_Term,Owned,Repeat,140162.4,6.37,157,14,366
46,421413.0,2.76,Far,borewell,670,2,110400.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,99360.0,8.37,187,27,50
57,1003076.0,7.42,Far,borewell,640,2,296800.0,Equipment_Purchase,Short_Term,Owned,First_Time,253764.0,7.53,562,20,296
63,456237.0,3.3,Far,drip,680,1,132000.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,6.37,443,32,315
61,299967.0,1.34,Far,rainfed,530,1,53600.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,8.25,637,26,279
38,829512.0,5.88,Near_Village,drip,840,0,352800.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.86,638,28,238
28,668334.0,4.69,Far,borewell,610,2,187600.0,Crop_Cultivation,Short_Term,Owned,First_Time,0.0,6.28,168,8,309
29,646281.0,4.56,Near_City,drip,690,2,364800.0,Irrigation_Setup,Short_Term,Owned,Repeat,338169.6,6.09,505,49,116
49,582516.0,3.86,Near_Village,borewell,770,1,231600.0,Equipment_Purchase,Short_Term,Owned,Repeat,218862.0,6.7,307,29,54
39,921575.0,6.76,Near_City,drip,570,3,540800.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,6.65,546,7,85
47,258019.0,1.66,Near_City,borewell,420,3,132800.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0,7.41,672,40,267
31,742878.0,4.95,Near_Village,borewell,790,0,297000.0,Irrigation_Setup,Long_Term,Owned,First_Time,253935.0,8.21,241,16,330
28,290206.0,1.55,Near_Village,canal,490,2,93000.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,0.0,6.45,187,32,75
28,695920.0,4.68,Far,rainfed,590,3,187200.0,Borewell_Installation,Long_Term,Owned,Repeat,0.0,6.65,197,25,100
49,848384.0,6.39,Near_Village,drip,850,1,383400.0,Equipment_Purchase,Long_Term,Owned,Repeat,362313.0,6.1,284,38,237
44,915022.0,6.93,Near_City,borewell,510,3,554400.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,7.1,423,32,192
38,417139.0,2.98,Near_City,canal,630,1,238400.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,6.28,123,14,367
37,858506.0,6.53,Far,rainfed,770,1,261200.0,Equipment_Purchase,Long_Term,Owned,First_Time,223326.0,8.07,616,18,261
32,843112.0,6.1,Near_Village,rainfed,790,1,366000.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,8.05,148,11,245
59,721024.0,5.37,Near_Village,canal,560,3,322200.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.08,106,35,170
48,411976.0,2.85,Near_City,rainfed,710,1,228000.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,6.87,395,42,334
37,428450.0,2.97,Near_Village,rainfed,610,2,178200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.3,402,39,167
47,263236.0,1.77,Far,drip,670,0,70800.0,Borewell_Installation,Short_Term,Owned,First_Time,60534.0,7.57,353,5,308
