Age_of_Farmer,Annual_Income,Land_Size_Acres,Land_Location,Soil_Quality,Irrigation_Facility,Credit_Score,Existing_Loans,Requested_Loan_Amount,Loan_Purpose,Loan_Type,Land_Ownership,Loan_History,Approved_Loan_Amount
65,878464.0,6.9,Far,8,canal,730,0,276000.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0
46,813462.0,6.28,Far,7,rainfed,570,3,251200.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0
34,647698.0,4.59,Near_Village,9,rainfed,680,1,275400.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0
38,747606.0,5.62,Far,5,canal,570,3,224800.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0
51,137875.0,0.69,Far,7,drip,650,1,27600.0,Equipment_Purchase,Short_Term,Owned,Repeat,24840.0
39,333025.0,2.0,Near_Village,7,canal,720,1,120000.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,111240.0
29,1056099.0,7.75,Near_Village,7,drip,580,2,465000.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
41,178186.0,0.79,Far,8,canal,410,2,31600.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0
27,842739.0,5.82,Near_City,9,rainfed,480,3,465600.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0
44,653153.0,4.3,Far,8,canal,720,2,172000.0,Borewell_Installation,Short_Term,Owned,Repeat,159444.0
36,722305.0,5.12,Near_Village,8,borewell,690,2,307200.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0
53,806584.0,5.57,Far,8,rainfed,820,0,222800.0,Equipment_Purchase,Long_Term,Owned,First_Time,190494.0
37,307999.0,1.61,Near_City,6,drip,750,0,128800.0,Irrigation_Setup,Long_Term,Owned,Repeat,119397.6
34,716306.0,5.42,Near_City,5,drip,770,1,433600.0,Borewell_Installation,Long_Term,Owned,First_Time,370728.0
54,808672.0,5.51,Far,9,canal,510,3,220400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
55,609125.0,3.88,Near_City,10,canal,480,3,310400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0
43,329618.0,2.26,Near_Village,7,borewell,640,1,135600.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,115938.0
46,599172.0,4.57,Near_Village,5,rainfed,510,3,274200.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
47,429768.0,2.74,Near_Village,8,rainfed,630,1,164400.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
46,723403.0,5.52,Near_Village,10,rainfed,510,3,331200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0
52,276636.0,1.52,Near_Village,6,borewell,440,3,91200.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0
49,446015.0,2.59,Near_Village,7,borewell,680,0,155400.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
29,875270.0,6.36,Far,5,borewell,740,1,254400.0,Crop_Cultivation,Short_Term,Owned,First_Time,217512.0
61,977368.0,7.61,Near_Village,10,canal,720,2,456600.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,423268.2
44,673908.0,4.82,Near_Village,8,rainfed,740,1,289200.0,Crop_Cultivation,Long_Term,Owned,First_Time,247266.0
59,578507.0,3.71,Near_Village,5,canal,480,3,222600.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
54,778177.0,5.8,Near_Village,6,canal,590,3,348000.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0
30,384634.0,2.59,Near_Village,6,drip,460,3,155400.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0
56,332435.0,2.09,Near_Village,7,canal,510,2,125400.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0
56,638245.0,4.66,Near_City,10,drip,590,3,372800.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0
50,768309.0,5.69,Near_Village,10,canal,690,2,341400.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0
44,433610.0,2.39,Near_City,10,rainfed,740,0,191200.0,Borewell_Installation,Short_Term,Owned,First_Time,163476.0
62,1028018.0,7.82,Far,9,canal,680,1,312800.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0
25,822443.0,5.81,Near_City,7,borewell,640,2,464800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,397404.0
43,596854.0,4.02,Near_Village,7,rainfed,670,2,241200.0,Irrigation_Setup,Short_Term,Owned,Repeat,217080.0
29,709071.0,4.83,Far,5,rainfed,690,2,193200.0,Crop_Cultivation,Short_Term,Owned,Repeat,179096.4
64,392705.0,2.19,Far,8,drip,450,2,87600.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
31,983717.0,7.61,Near_City,10,rainfed,820,0,608800.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,520524.0
53,765075.0,5.67,Near_Village,7,borewell,670,2,340200.0,Equipment_Purchase,Long_Term,Owned,First_Time,290871.0
65,648216.0,4.92,Near_City,8,borewell,710,1,393600.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,336528.0
44,702577.0,4.96,Far,7,drip,560,3,198400.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
30,736917.0,4.99,Near_Village,10,canal,640,2,299400.0,Crop_Cultivation,Short_Term,Owned,First_Time,255987.0
61,207605.0,0.8,Near_City,8,drip,480,1,64000.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
47,564046.0,3.56,Near_Village,10,borewell,710,1,213600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
50,909449.0,6.6,Far,5,drip,750,2,264000.0,Equipment_Purchase,Long_Term,Owned,Repeat,244728.0
25,801213.0,5.43,Far,8,drip,760,1,217200.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0
28,334330.0,2.03,Far,6,canal,410,3,81200.0,Crop_Cultivation,Short_Term,Owned,First_Time,0.0
60,215926.0,0.6,Near_Village,5,rainfed,670,0,36000.0,Irrigation_Setup,Short_Term,Owned,Repeat,32400.0
42,520608.0,3.62,Near_Village,8,rainfed,690,1,217200.0,Irrigation_Setup,Short_Term,Owned,First_Time,185706.0
51,486592.0,3.05,Far,7,borewell,670,2,122000.0,Borewell_Installation,Long_Term,Owned,Repeat,109800.0
46,612520.0,4.64,Far,8,drip,820,1,185600.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,175392.0
55,757869.0,5.79,Near_Village,8,rainfed,850,0,347400.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,328293.0
54,167465.0,0.62,Near_City,8,rainfed,310,3,49600.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
59,481817.0,3.35,Near_Village,10,drip,790,0,201000.0,Borewell_Installation,Short_Term,Owned,Repeat,189945.0
52,998155.0,7.84,Far,10,borewell,850,1,313600.0,Equipment_Purchase,Short_Term,Owned,Repeat,296352.0
48,578826.0,3.73,Near_City,9,drip,770,1,298400.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,281988.0
56,969700.0,7.35,Near_City,6,drip,720,2,588000.0,Irrigation_Setup,Long_Term,Owned,Repeat,545076.0
35,226422.0,1.05,Near_Village,9,canal,310,3,63000.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
55,207061.0,1.3,Near_Village,9,canal,490,2,78000.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0
61,970181.0,6.99,Far,5,drip,640,2,279600.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,239058.0
33,713880.0,5.21,Far,10,borewell,570,3,208400.0,Crop_Cultivation,Long_Term,Owned,First_Time,0.0
45,846356.0,6.11,Near_City,6,rainfed,750,2,488800.0,Borewell_Installation,Long_Term,Owned,Repeat,453117.6
43,833717.0,6.1,Near_Village,5,drip,710,1,366000.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0
25,436052.0,2.48,Near_City,8,canal,500,2,198400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
39,550092.0,4.04,Far,9,canal,710,1,161600.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
33,199429.0,0.84,Near_City,7,drip,640,0,67200.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0
59,577276.0,3.64,Far,10,rainfed,650,0,145600.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
48,341760.0,2.13,Near_Village,6,canal,620,2,127800.0,Borewell_Installation,Long_Term,Owned,Repeat,115020.0
32,1038400.0,7.62,Near_Village,5,rainfed,820,0,457200.0,Crop_Cultivation,Long_Term,Owned,First_Time,390906.0
60,313038.0,2.05,Near_City,6,canal,550,1,164000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
59,358438.0,2.38,Near_City,5,borewell,600,0,190400.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0
41,216045.0,0.89,Far,8,borewell,560,0,35600.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
57,399128.0,2.16,Far,5,canal,680,0,86400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
31,601525.0,4.18,Near_Village,5,borewell,760,1,250800.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0
63,617549.0,4.48,Near_Village,9,drip,780,0,268800.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0
51,463860.0,3.04,Near_Village,8,drip,760,0,182400.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
34,745054.0,5.65,Near_Village,5,borewell,850,0,339000.0,Crop_Cultivation,Long_Term,Owned,Repeat,320355.0
62,1016490.0,7.67,Far,7,borewell,660,2,306800.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
31,704848.0,4.83,Near_City,6,drip,850,0,386400.0,Equipment_Purchase,Long_Term,Owned,Repeat,365148.0
52,915341.0,6.84,Far,9,borewell,690,2,273600.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0
47,171028.0,0.55,Near_City,9,drip,650,1,44000.0,Crop_Cultivation,Short_Term,Owned,Repeat,39600.0
54,505538.0,3.06,Near_Village,7,canal,740,0,183600.0,Crop_Cultivation,Short_Term,Owned,First_Time,156978.0
53,719734.0,5.46,Near_Village,9,drip,690,2,327600.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0
43,760307.0,5.59,Far,8,canal,770,1,223600.0,Irrigation_Setup,Short_Term,Owned,First_Time,191178.0
38,851034.0,6.26,Near_Village,7,canal,820,0,375600.0,Irrigation_Setup,Long_Term,Owned,First_Time,321138.0
39,601033.0,4.25,Far,7,borewell,730,0,170000.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0
61,577418.0,3.72,Near_Village,10,drip,650,0,223200.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0
54,910673.0,6.74,Near_Village,5,drip,760,0,404400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0
44,876139.0,6.09,Near_City,7,rainfed,840,0,487200.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0
34,421286.0,2.27,Near_City,7,rainfed,710,1,181600.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0
61,851961.0,6.2,Near_Village,10,canal,720,2,372000.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,344844.0
42,680427.0,4.94,Near_Village,9,borewell,620,3,296400.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0
29,755315.0,5.33,Near_City,9,drip,810,0,426400.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
34,1064349.0,7.68,Near_Village,5,canal,820,0,460800.0,Borewell_Installation,Short_Term,Owned,First_Time,393984.0
53,664291.0,4.43,Far,6,canal,580,2,177200.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
46,245180.0,0.99,Near_City,9,drip,410,2,79200.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
34,1023433.0,7.38,Near_Village,10,drip,760,0,442800.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
58,257736.0,1.2,Far,8,canal,570,2,48000.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0
37,392282.0,2.2,Near_City,6,borewell,630,0,176000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
49,307422.0,1.66,Near_City,10,rainfed,360,3,132800.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0
64,455707.0,2.64,Far,8,rainfed,740,1,105600.0,Equipment_Purchase,Long_Term,Owned,Repeat,97891.2
53,609240.0,3.96,Near_Village,8,drip,680,1,237600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
55,954540.0,7.06,Far,5,borewell,760,0,282400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0
30,1012615.0,7.6,Near_City,8,canal,510,3,608000.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0
30,509125.0,3.31,Near_City,7,borewell,670,2,264800.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,238320.0
33,807373.0,6.19,Near_Village,8,borewell,850,0,371400.0,Equipment_Purchase,Short_Term,Owned,Repeat,350973.0
40,464031.0,2.76,Near_City,6,drip,430,3,220800.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
57,651751.0,4.81,Far,6,canal,840,0,192400.0,Borewell_Installation,Long_Term,Owned,Repeat,181818.0
30,679552.0,4.43,Near_Village,5,borewell,560,3,265800.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
26,477776.0,3.18,Near_City,7,rainfed,710,0,254400.0,Borewell_Installation,Long_Term,Owned,First_Time,217512.0
36,896062.0,6.73,Far,8,drip,710,1,269200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0
37,248335.0,0.83,Near_City,5,canal,310,3,66400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
37,418678.0,2.65,Near_City,10,canal,760,0,212000.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
46,1064964.0,7.8,Near_Village,10,drip,750,2,468000.0,Crop_Cultivation,Long_Term,Owned,Repeat,433836.0
36,691208.0,4.59,Near_Village,5,borewell,580,2,275400.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
53,474419.0,3.14,Near_City,10,canal,570,3,251200.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0
57,915762.0,6.51,Far,6,borewell,540,3,260400.0,Crop_Cultivation,Short_Term,Owned,First_Time,0.0
48,511625.0,3.22,Far,5,rainfed,430,3,128800.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
33,660019.0,4.47,Near_Village,7,canal,810,0,268200.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0
32,354906.0,2.46,Near_Village,10,drip,540,2,147600.0,Irrigation_Setup,Short_Term,Owned,First_Time,0.0
53,1100898.0,7.98,Far,7,canal,760,0,319200.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0
65,314503.0,1.81,Near_Village,9,rainfed,530,1,108600.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0
60,693703.0,4.79,Near_Village,9,rainfed,780,0,287400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
51,874660.0,6.27,Far,5,rainfed,760,0,250800.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
65,660429.0,4.91,Near_City,8,borewell,700,0,392800.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0
45,1033122.0,7.51,Near_City,7,canal,760,0,600800.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0
44,673846.0,5.11,Near_City,9,rainfed,770,1,408800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,349524.0
61,379696.0,2.48,Near_City,9,drip,680,0,198400.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0
50,422189.0,2.73,Near_City,10,borewell,430,3,218400.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
63,300741.0,1.58,Far,7,canal,530,1,63200.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0
32,394117.0,2.51,Near_City,6,borewell,540,2,200800.0,Irrigation_Setup,Long_Term,Owned,First_Time,0.0
61,771002.0,5.91,Near_City,6,drip,480,3,472800.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
50,635145.0,4.29,Near_City,6,canal,810,0,343200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
25,878705.0,6.85,Near_Village,6,canal,720,2,411000.0,Irrigation_Setup,Long_Term,Owned,Repeat,380997.0
37,449072.0,3.22,Near_Village,5,drip,490,3,193200.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0
50,451100.0,3.3,Near_Village,9,canal,690,1,198000.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,169290.0
46,914405.0,6.53,Far,8,rainfed,850,1,261200.0,Equipment_Purchase,Long_Term,Owned,Repeat,246834.0
44,732317.0,4.95,Far,9,drip,660,2,198000.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
32,1014349.0,7.85,Far,7,borewell,650,3,314000.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0
58,734207.0,5.22,Far,8,rainfed,740,1,208800.0,Crop_Cultivation,Short_Term,Owned,First_Time,178524.0
34,550875.0,3.6,Near_City,8,drip,760,0,288000.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0
49,428569.0,2.85,Near_City,8,canal,590,2,228000.0,Equipment_Purchase,Long_Term,Owned,First_Time,0.0
39,994921.0,7.56,Near_Village,7,rainfed,590,3,453600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
32,719603.0,4.8,Far,8,drip,720,2,192000.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,177984.0
53,781098.0,5.42,Far,8,rainfed,670,2,216800.0,Borewell_Installation,Long_Term,Owned,First_Time,185364.0
40,422425.0,2.32,Far,9,rainfed,710,1,92800.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0
55,237409.0,1.25,Near_City,5,rainfed,390,3,100000.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
28,979234.0,7.31,Near_City,10,rainfed,790,0,584800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,500004.0
36,969989.0,7.52,Near_Village,5,borewell,840,0,451200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
57,569869.0,4.01,Near_City,5,canal,540,3,320800.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0
61,804920.0,5.56,Near_City,6,drip,620,3,444800.0,Borewell_Installation,Long_Term,Owned,Repeat,0.0
31,375596.0,1.89,Near_City,8,canal,750,0,151200.0,Equipment_Purchase,Long_Term,Owned,Repeat,140162.4
46,421413.0,2.76,Far,9,borewell,670,2,110400.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,99360.0
57,1003076.0,7.42,Far,7,borewell,640,2,296800.0,Equipment_Purchase,Short_Term,Owned,First_Time,253764.0
63,456237.0,3.3,Far,9,drip,680,1,132000.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0
61,299967.0,1.34,Far,9,rainfed,530,1,53600.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0
38,829512.0,5.88,Near_Village,5,drip,840,0,352800.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
28,668334.0,4.69,Far,7,borewell,610,2,187600.0,Crop_Cultivation,Short_Term,Owned,First_Time,0.0
29,646281.0,4.56,Near_City,5,drip,690,2,364800.0,Irrigation_Setup,Short_Term,Owned,Repeat,338169.6
49,582516.0,3.86,Near_Village,8,borewell,770,1,231600.0,Equipment_Purchase,Short_Term,Owned,Repeat,218862.0
39,921575.0,6.76,Near_City,7,drip,570,3,540800.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0
47,258019.0,1.66,Near_City,10,borewell,420,3,132800.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0
31,742878.0,4.95,Near_Village,9,borewell,790,0,297000.0,Irrigation_Setup,Long_Term,Owned,First_Time,253935.0
28,290206.0,1.55,Near_Village,6,canal,490,2,93000.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,0.0
28,695920.0,4.68,Far,10,rainfed,590,3,187200.0,Borewell_Installation,Long_Term,Owned,Repeat,0.0
49,848384.0,6.39,Near_Village,10,drip,850,1,383400.0,Equipment_Purchase,Long_Term,Owned,Repeat,362313.0
44,915022.0,6.93,Near_City,8,borewell,510,3,554400.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0
38,417139.0,2.98,Near_City,8,canal,630,1,238400.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0
37,858506.0,6.53,Far,10,rainfed,770,1,261200.0,Equipment_Purchase,Long_Term,Owned,First_Time,223326.0
32,843112.0,6.1,Near_Village,6,rainfed,790,1,366000.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0
59,721024.0,5.37,Near_Village,7,canal,560,3,322200.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
48,411976.0,2.85,Near_City,9,rainfed,710,1,228000.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
37,428450.0,2.97,Near_Village,9,rainfed,610,2,178200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
47,263236.0,1.77,Far,9,drip,670,0,70800.0,Borewell_Installation,Short_Term,Owned,First_Time,60534.0
65,320861.0,2.24,Far,6,borewell,430,3,89600.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0
25,612296.0,4.49,Near_Village,5,borewell,690,2,269400.0,Borewell_Installation,Long_Term,Owned,Repeat,249733.8
31,634818.0,4.43,Near_City,6,canal,720,2,354400.0,Equipment_Purchase,Long_Term,Owned,Repeat,328528.8
40,1074043.0,7.93,Near_City,7,borewell,840,0,634400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
55,190515.0,0.92,Near_City,10,rainfed,370,3,73600.0,Irrigation_Setup,Long_Term,Owned,First_Time,0.0
38,962420.0,7.26,Far,9,drip,820,0,290400.0,Crop_Cultivation,Long_Term,Owned,First_Time,248292.0
38,688311.0,4.9,Far,8,borewell,760,1,196000.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0
33,831563.0,6.43,Far,10,borewell,610,2,257200.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
46,684702.0,5.04,Far,9,drip,690,2,201600.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0
47,618752.0,4.65,Near_Village,8,rainfed,540,3,279000.0,Crop_Cultivation,Long_Term,Owned,First_Time,0.0
42,249880.0,1.66,Far,10,rainfed,370,3,66400.0,Equipment_Purchase,Long_Term,Owned,First_Time,0.0
44,514242.0,3.84,Near_Village,5,rainfed,630,1,230400.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0
30,523006.0,3.15,Near_City,9,canal,680,0,252000.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
60,959980.0,7.29,Near_City,9,rainfed,560,3,583200.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0
56,273121.0,1.59,Near_City,8,canal,510,2,127200.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
65,637689.0,4.22,Far,6,drip,730,1,168800.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0
49,874780.0,6.53,Near_Village,8,canal,850,1,391800.0,Equipment_Purchase,Long_Term,Owned,Repeat,370251.0
50,1030243.0,7.77,Near_Village,10,drip,790,1,466200.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0
32,1039611.0,7.49,Near_City,9,rainfed,840,0,599200.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0
29,896212.0,6.64,Near_Village,10,drip,720,2,398400.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,369316.8
63,626993.0,4.09,Near_Village,9,drip,760,0,245400.0,Equipment_Purchase,Short_Term,Owned,First_Time,209817.0
35,725913.0,5.35,Near_City,9,drip,670,2,428000.0,Irrigation_Setup,Short_Term,Owned,First_Time,365940.0
58,614819.0,4.68,Far,9,rainfed,690,2,187200.0,Irrigation_Setup,Long_Term,Owned,Repeat,173534.4
43,530052.0,3.62,Near_City,5,rainfed,670,2,289600.0,Equipment_Purchase,Long_Term,Owned,Repeat,260640.0
53,847954.0,5.91,Near_Village,7,borewell,760,0,354600.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0
35,999490.0,7.47,Far,6,rainfed,710,1,298800.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0
65,326565.0,1.88,Far,10,drip,660,0,75200.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0
25,770630.0,5.79,Near_City,7,borewell,810,0,463200.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0
